paper_id,title,author_year,has_human,has_agent,human_AI_Literacies,agent_AI_Literacies,agree_AI_Literacies,human_Generative_KI,agent_Generative_KI,agree_Generative_KI,human_Prompting,agent_Prompting,agree_Prompting,human_KI_Sonstige,agent_KI_Sonstige,agree_KI_Sonstige,human_Soziale_Arbeit,agent_Soziale_Arbeit,agree_Soziale_Arbeit,human_Bias_Ungleichheit,agent_Bias_Ungleichheit,agree_Bias_Ungleichheit,human_Gender,agent_Gender,agree_Gender,human_Diversitaet,agent_Diversitaet,agree_Diversitaet,human_Feministisch,agent_Feministisch,agree_Feministisch,human_Fairness,agent_Fairness,agree_Fairness,human_decision,agent_decision,agree_decision,human_exclusion_reason,agent_exclusion_reason,human_studientyp,agent_studientyp,agent_confidence,agent_reasoning,category_agreements,category_total,category_agreement_rate
KQ5A8D6E,AI competency framework for students,Unknown (2024),Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Include,Exclude,Nein,,Not_relevant_topic,Konzept,Konzept,0.45,"Der Titel deutet auf ein KI-Kompetenzrahmen für Studierende hin (AI_Literacies = Ja). Jedoch fehlt jeglicher Bezug zu sozialen Kategorien wie Soziale Arbeit, Bias, Gender, Diversität, Feminismus oder Fairness. Kein Abstract verfügbar, was die Bewertung erschwert. Da nur die TECHNIK-Bedingung erfüllt ist, aber keine SOZIAL-Kategorie, wird das Paper ausgeschlossen.",4,10,40.00%
KRUQB7L2,What large language models know and what people think they know,Steyvers (2025),Ja,Ja,,Ja,,,Ja,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Ja,,Exclude,Include,Nein,Duplicate,,,Empirisch,0.72,"Das Paper untersucht die Diskrepanz zwischen LLM-Konfidenz und Nutzervertrauen. AI_Literacies ist relevant (kritische Kalibrierung von Vertrauen in KI). Generative_KI ist zentral (LLMs). Prompting wird substantiell behandelt (Prompt Engineering zur Unsicherheitsvermittlung). Fairness ist grenzwertig, aber die Kalibrierungslücke zwischen echter Modellkonfidenz und Nutzerwahrnehmung berührt algorithmische Fairness/Reliability. Technik- und Sozial-Bedingung (Fairness) sind erfüllt.",0,0,
L48P8FBG,Artificial intelligence in social work: An EPIC model for practice,Goldkind (2024),Ja,Ja,,Nein,,,Nein,,,Nein,,,Ja,,,Ja,,,Ja,,,Nein,,,Nein,,,Nein,,,Ja,,Exclude,Include,Nein,Duplicate,,,Konzept,0.93,"Das Paper entwickelt ein konzeptuelles Rahmenmodell (EPIC) für die Integration von KI in die Soziale Arbeit. KI_Sonstige ist erfüllt (algorithmische Systeme in der Sozialarbeit), Soziale_Arbeit ist direkt adressiert. Bias-Mitigation und Transparenz werden substantiell behandelt (Bias_Ungleichheit, Fairness). Beide Bedingungen (TECHNIK und SOZIAL) sind erfüllt.",0,0,
L6PH7GDL,Künstliche Intelligenz in der Sozialen Arbeit: Grundlagen für Theorie und Praxis,Linnemann (2025),Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Theoretisch,Theoretisch,0.95,"Das Paper behandelt substantiell KI in der Sozialen Arbeit aus theoretischer und praxisorientierter Perspektive. Es deckt AI Literacy/Kompetenzen, KI-Grundlagen, Bias in Trainingsdaten, algorithmischen Bias und ethisch-rechtliche Rahmenbedingungen ab. Direkter Bezug zur Sozialen Arbeit ist explizit. Erste systematische deutschsprachige Behandlung dieses Themas – erfüllt klar beide Bedingungen (Technik + Sozial).",6,10,60.00%
LBLF9BCW,Dipper: Diversity in Prompts for Producing Large Language Model Outputs,Lau (2023),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Include,Include,Ja,,,Konzept,Experimentell,0.72,"Das Paper behandelt substantiell Prompt-Engineering (Dipper-Framework) für LLMs und zielt explizit auf die Verbesserung demografischer Diversität und Repräsentation marginalisierter Gruppen in generierten Outputs. Damit sind sowohl Technik (Generative_KI + Prompting) als auch Sozial (Diversitaet) erfüllt. Kein direkter Sozialarbeitsbezug oder Gender-/Fairness-Fokus im engeren Sinne, aber Diversität ist substanziell adressiert.",10,10,100.00%
LGYFN6JK,ChatGPT for Social Work Science: Ethical Challenges and Opportunities,Patton (2023),Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Include,Include,Ja,,,Theoretisch,Konzept,0.92,"Das Paper entwickelt ein ethisches Framework für den Einsatz von LLMs (ChatGPT) in der Sozialarbeitswissenschaft. Es behandelt substantiell generative KI, KI-Kompetenzen (kritische Überwachung), direkten Sozialarbeitsbezug sowie Bias/soziale Gerechtigkeit als Kernthemen. Beide Bedingungen (TECHNIK und SOZIAL) sind klar erfüllt.",6,10,60.00%
LMW8DZ78,"Indecision on the use of artificial intelligence in healthcare: A qualitative study of patient perspectives on trust, responsibility and self-determination using AI-CDSS",Schneider (2025),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Exclude,Ja,Not relevant topic,Not_relevant_topic,Empirisch,Empirisch,0.82,"Das Paper behandelt algorithmische Entscheidungssysteme (AI-CDSS) im Gesundheitswesen, erfüllt also die Technik-Bedingung. Die sozialen Aspekte (Vertrauen, Verantwortung, Selbstbestimmung, vulnerable Gruppen) berühren zwar gesellschaftlich relevante Fragen, aber keines der definierten sozialen Kriterien wird substantiell behandelt: kein Bezug zur Sozialen Arbeit, kein expliziter Bias/Fairness-Fokus, kein Gender- oder Diversitäts-Schwerpunkt, keine feministische Perspektive.",9,10,90.00%
LPMP8QAY,Messung von AI Literacy – Empirische Evidenz und Implikationen,Weber (2023),Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Exclude,Ja,Not relevant topic,Not_relevant_topic,Empirisch,Empirisch,0.55,"Das Paper behandelt die Messung von AI Literacy (Technik-Kriterium erfüllt), jedoch fehlt ein soziales Kriterium (kein Bezug zu Sozialer Arbeit, Bias, Gender, Diversität, Fairness oder feministischen Perspektiven). Da kein Abstract vorliegt, ist die Einschätzung unsicher, aber der Titel deutet auf ein Messinstrument-Paper ohne sozialen Bezug hin. Ausschluss mangels erfülltem SOZIAL-Kriterium.",9,10,90.00%
LR8Z3YHP,'Meaningless work': How the datafication of health reconfigures knowledge about work and erodes professional judgement,Wadmann & Hoeyer (2020),Nein,Ja,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Exclude,,,Not_relevant_topic,,Empirisch,0.92,"Das Paper behandelt Datafizierung und Digitalisierung im Gesundheitswesen aus einer kritisch-ethnografischen Perspektive. Es fokussiert auf professionelles Urteilsvermögen und sinnentleerte Arbeit durch Dokumentationspflichten, nicht jedoch auf KI/ML-Systeme oder algorithmische Entscheidungsfindung. Kein Bezug zu Sozialer Arbeit, Gender, Bias oder Fairness im KI-Kontext. Die Technik-Bedingung ist nicht erfüllt.",0,0,
LT3D3ZQ2,Towards a Feminist Metaethics of AI,Siapka (2023),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Include,Include,Ja,,,Theoretisch,Theoretisch,0.82,Das Paper entwickelt eine feministische Metaethik für KI und behandelt damit KI-Systeme im Kontext von Machtrelationen und gesellschaftlichen Auswirkungen (KI_Sonstige). Es verwendet explizit feministische Theorie und Methodik (Feministisch = Ja). Die Untersuchung von Machtstrukturen und realen Auswirkungen von KI impliziert Bias und Ungleichheit (Bias_Ungleichheit = Ja). Beide Bedingungen (TECHNIK_OK und SOZIAL_OK) sind erfüllt.,7,10,70.00%
LXDG4KQK,Coded injustice: Surveillance and discrimination in Denmark's automated welfare state,Amnesty International (2024),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Experimentell,Empirisch,0.95,"Das Paper dokumentiert algorithmische Entscheidungssysteme im dänischen Wohlfahrtsstaat (KI_Sonstige), die direkt Sozialleistungsempfänger betreffen (Soziale_Arbeit). Es thematisiert substantiell Diskriminierung marginalisierter Gruppen (Bias_Ungleichheit, Diversitaet) sowie algorithmische Fairness-Probleme (Fairness). Beide Bedingungen – Technik und Sozial – sind klar erfüllt.",9,10,90.00%
LXKXPD5H,Digitale Werkzeuge und Machtasymmetrien?,Studeny (2025),Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Theoretisch,Theoretisch,0.9,"Das Paper behandelt substantiell algorithmische Systeme in der Sozialen Arbeit (KI_Sonstige), thematisiert Machtasymmetrien und Diskriminierung durch Algorithmen (Bias_Ungleichheit, Fairness) und fordert kritische Reflexion über digitale Technologien (AI_Literacies). Der direkte Bezug zur Sozialen Arbeit ist explizit. Beide Bedingungen (TECHNIK und SOZIAL) sind erfüllt.",9,10,90.00%
M2FYV58I,Exploring opportunities and risks in decision support technologies for social workers: An empirical study in the field of disabled people's services,Schneider (2022),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Exclude,Include,Nein,Not relevant topic,,Unclear,Empirisch,0.92,Das Paper untersucht algorithmische Entscheidungsunterstützungssysteme (KI_Sonstige) in der sozialen Arbeit mit Fokus auf Behindertendienstleistungen (Soziale_Arbeit). Es thematisiert Bias-Reduktion und Ressourcenzuteilungstransparenz (Bias_Ungleichheit) sowie Fairness-Aspekte algorithmischer Systeme. Beide Bedingungen (TECHNIK und SOZIAL) sind erfüllt.,8,10,80.00%
M7AGB7LI,Model explanations for gender and ethnicity bias mitigation in AI-generated narratives,Salecha (2025),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Experimentell,Unclear,0.72,"Der Titel weist klar auf generative KI (AI-generated narratives) und Bias-Mitigation bei Gender und Ethnizität hin. Model explanations für Bias-Reduktion deutet auf algorithmische Fairness hin. TECHNIK: Generative_KI=Ja. SOZIAL: Bias_Ungleichheit, Gender, Diversitaet, Fairness=Ja. Kein Abstract verfügbar, daher reduzierte Konfidenz.",9,10,90.00%
MA3LBJS6,Bedeutung von Künstlicher Intelligenz in der Sozialen Arbeit: Eine exemplarische arbeitsfeldübergreifende Betrachtung des Natural Language Processing (NLP),Linnemann (2023),Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Include,Nein,Duplicate,,Theoretisch,Theoretisch,0.92,"Das Paper untersucht substantiell NLP-Technologien (KI_Sonstige) im Kontext Sozialer Arbeit (Soziale_Arbeit), mit direktem Bezug zu sozialarbeiterischer Praxis und Theorie (Staub-Bernasconi). Es analysiert Chancen und Risiken der NLP-Implementierung für soziale Arbeit, einschließlich Fragen zur Dehumanisierung und Verdrängung genuiner Sozialarbeitsfunktionen. Beide Bedingungen (TECHNIK und SOZIAL) sind erfüllt.",9,10,90.00%
MIT8HTC6,PreciseDebias: An automatic prompt engineering approach for generative AI to mitigate image demographic biases,Clemmer (2024),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Experimentell,Experimentell,0.95,"Das Paper behandelt substantiell generative KI (Bildgeneratoren) und Prompt-Engineering (automatisiertes Rewriting von Prompts). Es adressiert klar demografischen Bias, Diversität (Ethnizität, Geschlecht, Alter) und algorithmische Fairness in KI-Systemen. Sowohl TECHNIK_OK (Generative_KI, Prompting) als auch SOZIAL_OK (Bias_Ungleichheit, Gender, Diversitaet, Fairness) sind erfüllt.",10,10,100.00%
MITLDF9S,KI-basiertes Assistenzsystem im Kinderschutzverfahren,Feist-Ortmanns (2025),Ja,Ja,,Ja,,,Nein,,,Nein,,,Ja,,,Ja,,,Ja,,,Nein,,,Nein,,,Nein,,,Ja,,Exclude,Include,Nein,No full text,,,Konzept,0.92,"Das Paper behandelt ein KI-Assistenzsystem für Gefährdungseinschätzung im Kinderschutz – ein klassischer KI_Sonstige-Fall (algorithmisches Entscheidungssystem). Direkter Bezug zur Sozialen Arbeit (Kinderschutzverfahren). Bias und Fehlklassifikationen werden explizit thematisiert (Bias_Ungleichheit, Fairness). AI_Literacies durch Schulungsbedarf und Human-in-the-Loop-Ansatz. Beide Bedingungen (Technik + Sozial) sind erfüllt.",0,0,
MJDTRLAI,Can prompt modifiers control bias? A comparative analysis of text-to-image generative models,Shin (2024),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Include,Include,Ja,,,Experimentell,Empirisch,0.92,"Das Paper behandelt substantiell generative KI (Stable Diffusion, DALL·E 3, Adobe Firefly), Prompting als Bias-Mitigation-Strategie sowie algorithmischen Bias und Fairness in Text-zu-Bild-Modellen. Die Analyse gesellschaftlicher Verzerrungen und Diversitätsaspekte in KI-Outputs erfüllt die Sozial-Bedingung. Beide Bedingungen (TECHNIK und SOZIAL) sind klar erfüllt.",8,10,80.00%
MPCZVZEW,Towards responsible AI for education: Hybrid human-AI to confront the Elephant in the room,Goellner (2025),Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Exclude,Include,Nein,Not relevant topic,,,Konzept,0.65,"Das Paper behandelt algorithmische/ML-Systeme im Bildungsbereich (KI_Sonstige: neural-symbolic AI) und adressiert substantiell verantwortungsvolle KI-Nutzung mit Fokus auf Transparenz und Zuverlässigkeit (Fairness). Kein direkter Sozialarbeitsbezug, aber Fairness-Aspekte durch XAI-Kritik und stakeholder involvement sind substantiell. Bildungskontext ist kein Sozialarbeitsbezug im engeren Sinne, aber Fairness-Kriterium ist erfüllt.",8,10,80.00%
MQJEES7J,AI literacy and trust: A multi-method study of Human-GAI team collaboration,Pan (2025),Ja,Nein,Ja,,,Ja,,,Ja,,,Nein,,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Ja,,,Include,,,,,Empirisch,,,,0,0,
MS3CNU3S,Bias and fairness in large language models: A survey,Gallegos (2024),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Experimentell,Literaturreview,0.95,"Das Paper ist ein umfassender Survey zu Social Bias und Fairness in Large Language Models. Es behandelt substantiell generative KI (LLMs), algorithmischen Bias/Ungleichheit sowie algorithmische Fairness inklusive Metriken und Mitigationstechniken. Beide Bedingungen (TECHNIK: Generative_KI; SOZIAL: Bias_Ungleichheit + Fairness) sind erfüllt → Include.",8,10,80.00%
MT54YHER,Thinking like a scientist: Can interactive simulations foster critical AI literacy?,Zhao (2025),Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Empirisch,Empirisch,0.88,"Das Paper behandelt substantiell KI-Kompetenzentwicklung (AI Literacy) durch interaktive Simulationen (TECHNIK_OK). Es thematisiert zudem Bias-Mechanismen, Fairness und Machtstrukturen in KI-Systemen (SOZIAL_OK). Empirische Studie mit 605 Teilnehmenden, die kritische KI-Literacy fördern soll, inklusive Verständnis von Datensatz-Repräsentativität und algorithmischem Bias.",9,10,90.00%
MTMU9UPJ,DR.GAP: Mitigating bias in large language models using gender-aware prompting with demonstration and reasoning,Qiu (2025),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Include,Include,Ja,,,Experimentell,Experimentell,0.97,"Das Paper behandelt substantiell Prompting-Strategien (DR.GAP-Methode mit Demonstration und Reasoning) für LLMs zur Reduktion von Gender-Bias. Technik-Kriterien erfüllt durch Generative_KI und Prompting; Sozial-Kriterien erfüllt durch Gender-Bias, Bias_Ungleichheit und Fairness. Alle vier Kategorien sind klar im Abstract verankert.",8,10,80.00%
MUBZ8XJL,"Bias, accuracy, and trust: Gender-diverse perspectives on large language models",Gaba (2025),Ja,Ja,Nein,Nein,Ja,,Ja,,,Nein,,,Nein,,,Nein,,,Ja,,,Ja,,,Ja,,,Nein,,,Nein,,Exclude,Include,Nein,Duplicate,,,Empirisch,0.95,"Das Paper untersucht mit qualitativen Interviews, wie Nutzer:innen unterschiedlicher Geschlechtsidentitäten Bias und Vertrauenswürdigkeit in ChatGPT (Generative KI) wahrnehmen. Gender und Bias/Ungleichheit sind zentrale Themen: non-binäre Personen erleben stereotypisierte Antworten, Vertrauen variiert nach Geschlecht. Diversität wird substantiell behandelt. Kein explizit feministischer Theorierahmen erkennbar. TECHNIK_OK (Generative_KI) und SOZIAL_OK (Bias_Ungleichheit, Gender, Diversität) → Include.",1,1,100.00%
N7J2ZRFP,Algorithmic Governance and the International Politics of Big Tech,Srivastava (2024),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Include,Include,Ja,,,Theoretisch,Theoretisch,0.65,"Das Paper behandelt algorithmische Governance-Systeme (KI_Sonstige) von Big Tech und analysiert systemische Machtungleichgewichte sowie 'information pollution' (Bias_Ungleichheit). Kein direkter Soziale-Arbeit-Bezug, aber die strukturelle Analyse algorithmischer Macht und sozialer Ungleichheit erfüllt die SOZIAL-Bedingung. Die Verbindung zu Bias/Ungleichheit ist gegeben, jedoch eher politikwissenschaftlich als KI-technisch fokussiert – daher mittlere Konfidenz.",8,10,80.00%
NBYNRKBL,What is Feminist AI?,Wudel (2025),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Exclude,Include,Nein,Duplicate,,Konzept,Konzept,0.92,"Das Paper entwickelt explizit einen feministischen KI-Rahmen (Feminist AI) unter Verwendung intersektionaler feministischer Methodologie. Es adressiert substantiell Bias und strukturelle Ungleichheit in KI-Systemen, thematisiert Gender, Diversität und Fairness. TECHNIK_OK durch KI_Sonstige (algorithmische Systeme, KI-Entwicklung), SOZIAL_OK durch mehrere Kategorien. Feminismus ist explizit zentrales Thema.",9,10,90.00%
NFW58AU8,Transparency enhances positive perceptions of social artificial intelligence,Xu (2023),Ja,Ja,,Nein,,,Nein,,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,Exclude,Exclude,Ja,Duplicate,Not_relevant_topic,,Experimentell,0.82,"Das Paper untersucht Transparenz bei Chatbots und Nutzerwahrnehmung (Vertrauen, Affinität, soziale Intelligenz). Es fällt unter KI_Sonstige (algorithmische Systeme/Chatbots), erfüllt aber keine der sozialen Kategorien substantiell. Kein Bezug zu Soziale_Arbeit, Bias, Gender, Diversität, Fairness oder feministischer Theorie. Die Erwähnung von 'prompt-engineering' im Abstract ist beiläufig, kein substantieller Fokus.",0,0,
NHIZN4QJ,What is Feminist AI?,Wudel (2025),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Include,Include,Ja,,,Theoretisch,Konzept,0.9,"Das Paper behandelt Feminist AI als Framework mit explizit feministischer Theorie (intersektionaler Feminismus), analysiert Bias und Ungleichheit in KI-Systemen, und thematisiert Diversität, Fairness und Gender substantiell. Die technische Dimension wird durch KI-Systeme und deren Entwicklung abgedeckt. Sowohl TECHNIK_OK (KI_Sonstige) als auch SOZIAL_OK (Feministisch, Bias, Gender, Diversität, Fairness) sind erfüllt.",9,10,90.00%
NQEUZQF9,Datafied ageing futures: Regimes of anticipation and participatory futuring,Jarke (2025),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Exclude,Include,Nein,Not relevant topic,,Empirisch,Konzept,0.72,"Das Paper behandelt datengetriebene Systeme (KI_Sonstige) im Kontext alternder Bevölkerungen und kritisiert techno-solutionistische Narrative. Es thematisiert Ungleichheit durch ageistische Annahmen und fehlende Partizipation betroffener Gruppen (Bias_Ungleichheit, Diversitaet). Kein direkter Soziale_Arbeit-Bezug, kein Fokus auf generative KI oder Prompting. Die Verbindung zu KI ist durch 'data-driven systems' und 'datafied futures' gegeben, aber nicht spezifisch genug für klassisches ML.",6,10,60.00%
NSI6S5QE,"NASW, ASWB, CSWE, & CSWA standards for technology in social work practice",National Association of Social Workers et al. (2017),Nein,Ja,,Nein,,,Nein,,,Nein,,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Exclude,,,Not_relevant_topic,,Konzept,0.85,"Das Dokument behandelt Technologiestandards für die Soziale Arbeit (NASW et al. 2017), hat aber keinen substantiellen KI-Fokus. Es adressiert allgemeine Technologiefragen wie Datenschutz, Dokumentation und Kompetenz. Obwohl der Abstract erwähnt, es sei 'applicable to AI technologies', fehlt ein direkter KI/ML-Bezug. Die TECHNIK-Bedingung (AI_Literacies, Generative_KI, Prompting, KI_Sonstige) ist nicht erfüllt, daher Exclude.",0,0,
NUVZI357,Feministische Netzpolitik und Künstliche Intelligenz in der politischen Bildung [Feminist network politics and artificial intelligence in political education],Mosene (2023),Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Exclude,Include,Nein,Wrong publication type,,Theoretisch,Theoretisch,0.9,"Das Paper behandelt substantiell feministische Perspektiven auf KI (feministisch = Ja), Bias in KI-Systemen und Geschlechterstereotype (Bias_Ungleichheit, Gender = Ja), sowie KI-Kompetenzentwicklung im Kontext politischer Bildung (AI_Literacies = Ja). Es bezieht sich explizit auf intersektionale feministische Theorie. TECHNIK_OK (AI_Literacies + KI_Sonstige) und SOZIAL_OK (Bias, Gender, Feministisch) sind erfüllt.",7,10,70.00%
NUYCHW2T,Transparency enhances positive perceptions of social artificial intelligence,Xu (2023),Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Exclude,Ja,Not relevant topic,Not_relevant_topic,Empirisch,Experimentell,0.82,"Das Paper untersucht Transparenz-Effekte auf Nutzerwahrnehmung von Chatbots (KI_Sonstige: Ja), aber es fehlt eine soziale Dimension im definierten Sinne. Kein Bezug zu Sozialer Arbeit, keinem Bias/Ungleichheitsfokus, keiner Gender- oder Diversitätsperspektive und keiner Fairness-Thematik. Die Erwähnung von Prompt-Engineering ist beiläufig, nicht substantiell. TECHNIK_OK aber SOZIAL nicht erfüllt → Exclude.",9,10,90.00%
NVZA58ML,A survey on fairness in large language models,Wang (2024),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Experimentell,Literaturreview,0.75,"Der Titel 'A survey on fairness in large language models' deutet klar auf einen Literaturreview zu Fairness-Fragen in LLMs hin. Generative_KI (LLMs) und Fairness sind substantiell vertreten. Bias/Ungleichheit ist als eng verwandtes Thema bei Fairness-Surveys typischerweise zentral. TECHNIK_OK (Generative_KI) und SOZIAL_OK (Fairness, Bias_Ungleichheit) → Include. Kein Abstract vorhanden, daher moderate Konfidenz.",7,10,70.00%
P4YQIKJX,Ethics & AI: A systematic review on ethical concerns and related strategies for designing with AI in healthcare,Li et al. (2023),Nein,Ja,,Nein,,,Nein,,,Nein,,,Ja,,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Ja,,,Include,,,,,Literaturreview,0.75,"Das Paper ist ein systematischer Review zu ethischen Fragen von KI im Gesundheitswesen (KI_Sonstige). Es behandelt substantiell algorithmischen Bias/Diskriminierung (Bias_Ungleichheit) und algorithmische Fairness als Kernthemen (Fairness). Kein direkter Soziale_Arbeit-Bezug, aber die soziale Relevanz durch Bias/Fairness-Fokus erfüllt das SOZIAL-Kriterium. TECHNIK_OK und SOZIAL_OK sind beide erfüllt.",0,0,
